import time: self [us] | cumulative | imported package
import time:       212 |       3083 |                                   attr.converters
import time:        92 |         92 |                                   attr.filters
import time:      3565 |       3565 |                                   attr.validators
import time:       172 |        172 |                                   attr._cmp
import time:       167 |        167 |                                   attr._funcs
import time:       202 |        202 |                                   attr._next_gen
import time:       465 |        465 |                                   attr._version_info
import time:       357 |       8099 |                                 attr
import time:       129 |        129 |                                 rich.abc
import time:      1612 |       9839 |                               rich.pretty
import time:       197 |        197 |                               rich.region
import time:       241 |        241 |                                   rich.box
